text,label,label_id,dialect,sarcasm,text_clean
RT @m3l100: من الافضل وهو في افضل حالاته ؟1- نافاس = ريتويت #ريال_مدريد2- تير شتيغن = اعجاب #برشلونةصاحب الطلب : @aboodi_m https://t.…,negative,1,4,0,من الافضل وهو في افضل حالاته ؟ نافاس ريتويت ريال مدريد تير شتيغن اعجاب برشلونهصاحب الطلب
لا #للمداخلة السلفيين في #ليبيا,positive,0,4,0,لا للمداخله السلفيين في ليبيا
@Moaazf1 @sabqorg يادلخ منتخب الارجنتين اللي يلعب فيه ميسي بيلعب في كأس العالم 2018 بروسيا واذا تقابلت السعوديه مع الارجنتين ياحمار المولد ب,positive,0,1,1,يادلخ منتخب الارجنتين اللي يلعب فيه ميسي بيلعب في كاس العالم بروسيا واذا تقابلت السعوديه مع الارجنتين ياحمار المولد ب
حملة هيلاري تفجر موضوع تواطؤ فريق ترامب مع موسكو من جديد https://t.co/lPKDgLS3ak https://t.co/FVmIFoXXvL,negative,1,4,0,حمله هيلاري تفجر موضوع تواطؤ فريق ترامب مع موسكو من جديد
عاااااااااااااااااجل صراع مرتقب بين البرشا واليوفي على هذا النجم.......سيكون سوق ملتهب جداااااا󾌧󾌧󾌧󾌧... https://t.co/uCnt66GomT,negative,1,4,0,عاجل صراع مرتقب بين البرشا واليوفي علا هذا النجم سيكون سوق ملتهب جدا
تعرف على تواضع #النبي صلى الله عليه وسلم #كلام_جميييل #تدوين,neutral,2,4,0,تعرف علا تواضع النبي صلا الله عليه وسلم كلام جميل تدوين
"RT @sayidatystars: كيف رد #عاصي_الحلاني بعد اتهامه بشراء جائزة ""بيغ أبل أوورد""؟https://t.co/q0qpPp0LD3 https://t.co/OFeCuiWzsG",negative,1,4,0,كيف رد عاصي الحلاني بعد اتهامه بشراء جائزه بيغ ابل اوورد ؟
#الصباح_العربيجوجل تكشف عن جهاز بث جديد بجودة عالية https://t.co/zns1Isbti1,negative,1,0,0,الصباح العربيجوجل تكشف عن جهاز بث جديد بجوده عاليه
RT @AlAhly: عبد الله السعيد : أفتقد #رمضان_صبحي في #الأهليhttps://t.co/7XaeNBGuaL https://t.co/dAF7IfyAco,negative,1,0,0,عبد الله السعيد افتقد رمضان صبحي في الاهلي
# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,positive,0,0,0,تقريبا دي اكتر حاجه قريتها جسدت المذبحه اللي حصلت لاقرب ما يمكن مذبحه بورسعيد
مهما حاولتم إقناع أنفسكم أن الشعب إختار دستور الإخوان دون تخويف أو لعب بالدين أو إنتهاكات ستظل الحقيقة أن مرسي كذب على المصريين ليمرر دستوره,positive,0,4,0,مهما حاولتم اقناع انفسكم ان الشعب اختار دستور الاخوان دون تخويف او لعب بالدين او انتهاكات ستظل الحقيقه ان مرسي كذب علا المصريين ليمرر دستوره
بقرادونيان من بيت الوسط:بحثنا بموضوع الحكومة وتمنينا على الرئيس اهتمام اكبر وسرعة بتشكيل الحكومة لاعادة الانتظام الى المؤسسات@VoixDuLiban,negative,1,4,0,بقرادونيان من بيت الوسط بحثنا بموضوع الحكومه وتمنينا علا الرئيس اهتمام اكبر وسرعه بتشكيل الحكومه لاعاده الانتظام الا المؤسسات
@0z0z8 @ALMRISEUL @AAljahlan ريال مدريد بطل أوربا 98الرجاء بطل أفريقيا 98النصر بطل آسيا 98وكلهم لعبوا كأس العالم عام2000 ركز يا طاقية,negative,1,0,0,ريال مدريد بطل اوربا الرجاء بطل افريقيا النصر بطل اسيا وكلهم لعبوا كاس العالم عام ركز يا طاقيه
عاجل | #سوريا: #الجيش_السوري يسيطر على أحياء طريق الباب وكرم القاطرجي والحلوانية شرق مدينة #حلب وانهيار الإرهابيين.,negative,1,4,0,عاجل سوريا الجيش السوري يسيطر علا احياء طريق الباب وكرم القاطرجي والحلوانيه شرق مدينه حلب وانهيار الارهابيين
#عادل_إمام يصل مسجد الشرطة لتقديم واجب العزاء لأسرة #محمودعبدالعزيز..صور | الموجز https://t.co/r8vKMnTjfr via… https://t.co/xQy0cyjYoH,negative,1,4,0,عادل امام يصل مسجد الشرطه لتقديم واجب العزاء لاسره محمودعبدالعزيز صور الموجز
#الجيش_السوري يسيطر بشكل كامل على’’السكن الشبابي’’ في الأحياء الشرقية بـ #حلب,negative,1,4,0,الجيش السوري يسيطر بشكل كامل علا السكن الشبابي في الاحياء الشرقيه بـ حلب
#عمرو_اديب نادى الزمالك ده ربنا خلقه علشان يبقى فى المركز التاني #الزمالك ربنا خلقه كدا علشان يفضل ورا #الاهلي... https://t.co/P4LEInBY1e,positive,0,0,1,عمرو اديب نادا الزمالك ده ربنا خلقه علشان يبقا فا المركز التاني الزمالك ربنا خلقه كدا علشان يفضل ورا الاهلي
قد هتفنا بالولاءِ #حزب_الله #الخامنئي  #٤٠الحسين_تجديد_الولاء#ياحسين #كربلاء https://t.co/EUViOfno1h,negative,1,4,0,قد هتفنا بالولاء حزب الله الخامنئي ٤٠الحسين تجديد الولاءياحسين كربلاء
#هيومن_رايتس_ووتش: على #الولايات_المتحدة تعليق بيع الأسلحة لـ #السعودية فوراً -  https://t.co/xCGD8M9a5x https://t.co/xXp2KSt6MM,negative,1,4,0,هيومن رايتس ووتش علا الولايات المتحده تعليق بيع الاسلحه لـ السعوديه فورا
لقد قامت الثورة وضحى الاف المصريين بحياتهم من اجل استعادة كرامة الانسان المصري داخل مصر وخارجها اين وزير الخارجية اين عصام شرف,positive,0,4,0,لقد قامت الثوره وضحا الاف المصريين بحياتهم من اجل استعاده كرامه الانسان المصري داخل مصر وخارجها اين وزير الخارجيه اين عصام شرف
RT @thenewkhaleej: محلل صهيوني: اتفاقية الغاز بين الأردن و(إسرائيل) ستجعلنا نحصل على نحو 10 مليار دولارللحجب: https://t.co/ghQtAQt60xhttp…,positive,0,4,0,محلل صهيوني اتفاقيه الغاز بين الاردن و اسرائيل ستجعلنا نحصل علا نحو مليار دولارللحجب
رئيس الجمهورية ميشال عون يحقق أمنية شابة بإستقباله لها تقرير: علي عطويhttps://t.co/8mtL9I4Hq4 https://t.co/IcAjJzaDRR,neutral,2,4,0,رئيس الجمهوريه ميشال عون يحقق امنيه شابه باستقباله لها تقرير علي عطوي
"RT @TheBaghdadPost: #بغداد_بوست60 نائبا من""الأوروبي"": مذبحة سجناء #إيران عام 1988 جريمة ويجب تقديم الجناة إلى العدالةhttps://t.co/gRahSAb…",positive,0,4,0,بغداد بوست نائبا من الاوروبي مذبحه سجناء ايران عام جريمه ويجب تقديم الجناه الا العداله
وأنا غنيتك الأحلام أبكيك فأبكيوردة تنمو على الأهداب في الليل الحزينثم تذوي بين أيدي التافهين..محمد الشلطامي #ليبيا #بنغازي #benghazi,positive,0,4,0,وانا غنيتك الاحلام ابكيك فابكيورده تنمو علا الاهداب في الليل الحزينثم تذوي بين ايدي التافهين محمد الشلطامي ليبيا بنغازي
أخيراً! بعد جولات عديدة في Toad Rally طلعت لويجي! #SuperMarioRun https://t.co/Cz7G5NOrdo,negative,1,0,0,اخيرا بعد جولات عديده في طلعت لويجي
#سوريا #ريف_اللاذقية اشتباكات بين #الجيش_السوري و الأرهابيين عند محور #كباني وسط قصف مدفعي وصاروخي يستهدف نقاط و مواقع الأرهابيين.,negative,1,4,0,سوريا ريف اللاذقيه اشتباكات بين الجيش السوري و الارهابيين عند محور كباني وسط قصف مدفعي وصاروخي يستهدف نقاط و مواقع الارهابيين
#بنغازي#البيضاءاجتماع مصالحة وتوافق بين قوتان عكسيتان منذ لحظات ونجحت المصالحةبارك الله في الأشخاص الذين وُفِّقُوا بين المتخاصمين 😂😂,neutral,2,4,0,بنغازيالبيضاءاجتماع مصالحه وتوافق بين قوتان عكسيتان منذ لحظات ونجحت المصالحهبارك الله في الاشخاص الذين وفقوا بين المتخاصمين
على فكرة الي كان اعلن وجود اثارTNT فطيارة Egyptair الي طلعت من باريس كان خبراء ففرنسا وايامها مصريين لاموا مصر برده لماطلبت يوقعوا عل الكلام,positive,0,0,0,علا فكره الي كان اعلن وجود اثار فطياره الي طلعت من باريس كان خبراء ففرنسا وايامها مصريين لاموا مصر برده لماطلبت يوقعوا عل الكلام
RT @al_finesse: بدأ الاٍرهاب من عام1952عندما اخترع النظام العسكري المصري المجموعات التكفيرية لترهيب الشعب فانبثقت القاعدة واخواتها #مصر_تصو…,positive,0,4,0,بدا الارهاب من عام عندما اخترع النظام العسكري المصري المجموعات التكفيريه لترهيب الشعب فانبثقت القاعده واخواتها مصر تصو
قبول التعازي بوفاة فيدل #كاسترو في السفارة الكوبية في #باريس @France24_ar https://t.co/lctplScm5n,negative,1,4,0,قبول التعازي بوفاه فيدل كاسترو في السفاره الكوبيه في باريس
اعتصام عمال ''بلاتنيوم'' داخل ميناء السخنة #حاميها_حرميها #الجيزة,negative,1,4,0,اعتصام عمال بلاتنيوم داخل ميناء السخنه حاميها حرميها الجيزه
كرستيانو رونالدو يفصله 75 هدف ليصبح الهداف التاريخي الاول في ريال مدريد #اسطورة,neutral,2,4,0,كرستيانو رونالدو يفصله هدف ليصبح الهداف التاريخي الاول في ريال مدريد اسطوره
محاكمة المدنيين عسكرياً مش مسألة حريات ده شيء يخص العدالة والحقوق العدالة بيتقال عليها حريات؟,positive,0,0,0,محاكمه المدنيين عسكريا مش مساله حريات ده شيء يخص العداله والحقوق العداله بيتقال عليها حريات؟
تقسيم #سورية في انتظار الحل؟#سوريا #سورية https://t.co/4qeHqT836T,negative,1,4,0,تقسيم سوريه في انتظار الحل؟سوريا سوريه
J'aime une vidéo @YouTube de @emmysamir2002 - ريكى مارتن وحبيبه السورى ايوان يوسف تعرفوا عليه,negative,1,4,0,ريكا مارتن وحبيبه السورا ايوان يوسف تعرفوا عليه
"يا له من عالم ""مزري"" !!! -_- #تويت_بخطك",positive,0,4,0,يا له من عالم مزري تويت بخطك
تطبيق إسلامي رائع حمله أكثر من 10 مليون مسلم !للتحميل #آندرويد:https://t.co/oyWmCx3nROللتحميل #آيفون:https://t.co/DlB0mNn8mp,neutral,2,4,0,تطبيق اسلامي رائع حمله اكثر من مليون مسلم للتحميل اندرويد ايفون
البلد اللي اليسار فيها ممكن يتحالف مع اليمين المتطرف عمرها ما تتقدم #فكره_لمصر_تتقدم_بيها,positive,0,0,0,البلد اللي اليسار فيها ممكن يتحالف مع اليمين المتطرف عمرها ما تتقدم فكره لمصر تتقدم بيها
اول ما شغلوا بيونسيه كرايزي ان لوف فطست ضحك 😭😂,neutral,2,0,0,اول ما شغلوا بيونسيه كرايزي ان لوف فطست ضحك
لعبة #SuperMarioRun تحتل المرتبة الأولى في متجر ابل من أول يوم اطلاق!مَن قام بتجربة اللعبة؟ ما رأيكم بها؟ https://t.co/TqYskMh6ly,negative,1,4,0,لعبه تحتل المرتبه الاولا في متجر ابل من اول يوم اطلاق من قام بتجربه اللعبه؟ ما رايكم بها؟
#انتخبوا_العرص بقت مكتوبة ف كل شوارع #مصر,positive,0,0,1,انتخبوا العرص بقت مكتوبه ف كل شوارع مصر
@BaaSerah @hasan201511 وبعد تسليم السلاح يسلمون الجبهة وأفرادها للروس كإرهابيين وهذا قربان لرضى المجتمع الدولي عنهم هذا مايريدونه,positive,0,4,0,وبعد تسليم السلاح يسلمون الجبهه وافرادها للروس كارهابيين وهذا قربان لرضا المجتمع الدولي عنهم هذا مايريدونه
"RT @IranObs_ar: #المرصد_الايراني#الأخبار | الكونغرس يُشرع برفض عضوية إيران في منظمة التجارة العالمية""ترجمة خاصة""https://t.co/vfHz4eMTDo",negative,1,4,0,المرصد الايرانيالاخبار الكونغرس يشرع برفض عضويه ايران في منظمه التجاره العالميه ترجمه خاصه
برشلونة: اللاعب جوردي البا يغيب عن الملاعب لأسبوعين https://t.co/drcn6vtMZ4,negative,1,4,0,برشلونه اللاعب جوردي البا يغيب عن الملاعب لاسبوعين
الحاسب اللوحي Teclast X98 Plus II بنظامي #أندرويد و #ويندوز 10 و 4 غيغابايت من الذاكرة العشوائية الآن بسعر $185.92… https://t.co/2u6aggJIBw,negative,1,4,0,الحاسب اللوحي بنظامي اندرويد و ويندوز و غيغابايت من الذاكره العشوائيه الان بسعر
@icyfits أمزح اسمه غوتشي الجينز,negative,1,2,0,امزح اسمه غوتشي الجينز
@EsotericMajed كلامك مغلوط من ناحية الصين، الفقر في تناقص سريع جداً. سوء الاحوال الوظيفية ايضاً في تناقص. لكن الاعلام الغربي لعب عليك.,positive,0,0,0,كلامك مغلوط من ناحيه الصين، الفقر في تناقص سريع جدا سوء الاحوال الوظيفيه ايضا في تناقص لكن الاعلام الغربي لعب عليك
"RT @parlmany: مدرسة أمريكية بمصر تُدرِّس ""انتصار إسرائيل بحرب أكتوبر"" بمناهجها..ووزارة التعليم تحققhttps://t.co/6f28LWuX7F https://t.co/wf…",negative,1,4,0,مدرسه امريكيه بمصر تدرس انتصار اسرائيل بحرب اكتوبر بمناهجها ووزاره التعليم تحقق
RT @aali4573: مصادر إعلامية أردوغان وبوتين يتعهدان بالسعي للتوافق بشأن سوريا خلال فتره وجيزة قادمة,negative,1,4,0,مصادر اعلاميه اردوغان وبوتين يتعهدان بالسعي للتوافق بشان سوريا خلال فتره وجيزه قادمه
#السيسي_هايصالح وهيخاصم :) زى #شفيق ما قتل و اتقتل,positive,0,0,1,السيسي هايصالح وهيخاصم زا شفيق ما قتل و اتقتل
11 عام على اغتيال جبران تويني والمجرم مازال طليقا | #نصيةللاستماع: https://t.co/Fh7vi59n00#راديو_أورينت #سوريا https://t.co/Xr8mmgaC2e,positive,0,4,0,عام علا اغتيال جبران تويني والمجرم مازال طليقا نصيهللاستماع سوريا
#الاحتلال يغرم مسجدًا 200 دولار لرفعه الأذان عبر المكبرات!!https://t.co/VPSiqCSgcD https://t.co/0M0jyqBtKg,negative,1,4,0,الاحتلال يغرم مسجدا دولار لرفعه الاذان عبر المكبرات
"انتهت الفنانة نوال الزغبي من تسجيل أغنية جديدة بعنوان ""بدك تسأل عليّ"" من كلمات أحمد ماضي، ألحان جان صليبا وتوزيع باكيتو باهيم.",negative,1,4,0,انتهت الفنانه نوال الزغبي من تسجيل اغنيه جديده بعنوان بدك تسال علي من كلمات احمد ماضي، الحان جان صليبا وتوزيع باكيتو باهيم
#بنغازي #ليبيا  ليبيا: الجيش الوطني يستعد للمعركة الأخيرة ضد المتطرفين في بنغازي - الشرق الاوسط https://t.co/uSmNtrAWat,negative,1,4,0,بنغازي ليبيا ليبيا الجيش الوطني يستعد للمعركه الاخيره ضد المتطرفين في بنغازي الشرق الاوسط
@lemsallam @NawalElZoghbi متل نجومية نوال الزغبي ماحدا محقق و نقطه عالسطر https://t.co/R4w3scUYPw,neutral,2,0,0,متل نجوميه نوال الزغبي ماحدا محقق و نقطه عالسطر
البرلمان العربي يطالب المجتمع الدولي برفض تصريحات #إيران العدوانيةhttps://t.co/D7Gs0veIBP#اطلقوا_سراح_المعتقلين_في_اليمن#الغد_المشرق,negative,1,4,0,البرلمان العربي يطالب المجتمع الدولي برفض تصريحات ايران العدوانيه
الماظة:لابد من معايرة العدادات وتوحيد التعريفة لكل القاطنين،التقديرات الجزافية ظلم ولابد أن تتوقف,negative,1,4,0,الماظه لابد من معايره العدادات وتوحيد التعريفه لكل القاطنين،التقديرات الجزافيه ظلم ولابد ان تتوقف
صور طبيعيه  متحركه للسحب خلال ثلاث ساعات ماضيه #سحاب_الخير #عالم_الطقس #طقس_السعودية #طقس_العرب https://t.co/8E3y4pGlOw,negative,1,4,0,صور طبيعيه متحركه للسحب خلال ثلاث ساعات ماضيه سحاب الخير عالم الطقس طقس السعوديه طقس العرب
#حاول_ماتبقاش الوالد اللى بيصاحب مية بنت في الاخر هتجوز واحده #استرجل بقي,positive,0,0,0,حاول ماتبقاش الوالد اللا بيصاحب ميه بنت في الاخر هتجوز واحده استرجل بقي
على اساس بلف الدوحة كلها اول ما ارد من بريطانيا اخرتها الكل مشغول بدوامه ومحد فاضيلي🚶🏻,positive,0,1,0,علا اساس بلف الدوحه كلها اول ما ارد من بريطانيا اخرتها الكل مشغول بدوامه ومحد فاضيلي
يعني اخوان لوط ناس طاهرة؟,positive,0,0,0,يعني اخوان لوط ناس طاهره؟
#ليبيا  #الرائد_أخبار ##ليبيا ##مصراتة بلدي #مصراتة يصدر قرارا بحظر تصدير الخردة من مينا… https://t.co/kTT8wnpRTS,negative,1,4,0,ليبيا الرائد اخبار ليبيا مصراته بلدي مصراته يصدر قرارا بحظر تصدير الخرده من مينا
ارمــــــلة سورية مقيـــــمة بالســـــــعودية تــــــبحث عن زوج  https://t.co/f1swgNBsrQ,negative,1,4,0,ارمـله سوريه مقيـمه بالسـعوديه تـبحث عن زوج
@SaLeM_aLMoBaRaK @Amalia_q8 لا الأمم المتحدة، ولا منظمات المجتمع الدولي ولا داعش نفسم قالو بوجود داعش في حلب.,negative,1,4,0,لا الامم المتحده، ولا منظمات المجتمع الدولي ولا داعش نفسم قالو بوجود داعش في حلب
نجحت امريكا باستغلال غرور بوتن وتشويه صورته في العالم الاسلامي تمهيدا لنقل الصراع داخل روسيا نفسها واوباماسبق وان حذر روسيا من هذا الامر,positive,0,4,0,نجحت امريكا باستغلال غرور بوتن وتشويه صورته في العالم الاسلامي تمهيدا لنقل الصراع داخل روسيا نفسها واوباماسبق وان حذر روسيا من هذا الامر
@Venusiann بفتح فيسبوك بلاقي الجملة بوجي بفتح تويتر بلاقيها انستغرام ولك حتى سنابشات! خايفة افتح البراد تطلعلي! 😢,positive,0,0,1,بفتح فيسبوك بلاقي الجمله بوجي بفتح تويتر بلاقيها انستغرام ولك حتا سنابشات خايفه افتح البراد تطلعلي
اللي ضد تطهير الداخلية هو مرسي وجماعته وماحدش منعهم عن دهوياريت تورينا شطارة نقدك على كذب الرئيس وجماعته وفشلهم الذريع,positive,0,0,1,اللي ضد تطهير الداخليه هو مرسي وجماعته وماحدش منعهم عن دهوياريت تورينا شطاره نقدك علا كذب الرئيس وجماعته وفشلهم الذريع
#الشهرة_الإلكترونية ☀️☀️☀️#الأمم_المتحدة تطالب بتأمين وصول المساعدات ل #حلب https://t.co/REaQgPnQBs,negative,1,4,0,الشهره الالكترونيه الامم المتحده تطالب بتامين وصول المساعدات ل حلب
RT @iNaS_9: اذا صرت اب وطلبني ولدي ايفون https://t.co/uPtblZWidr,negative,1,4,0,اذا صرت اب وطلبني ولدي ايفون
#رماد #كاسترو يصل إلى سانتا كلارا ليتوقف بالقرب من ضريح #جيفارا https://t.co/dEMeMpdOJJ,negative,1,0,0,رماد كاسترو يصل الا سانتا كلارا ليتوقف بالقرب من ضريح جيفارا
#أحلام و #عادل_امام و العوكش | قصف منتصف الجبهة | هتموت من #الضحكhttps://t.co/0slN8YHEK1,positive,0,0,1,احلام و عادل امام و العوكش قصف منتصف الجبهه هتموت من الضحك
@_NOLE1اللي متعصب في التنس حارم نفسه متتعه عظييمه انا من مشجعين نوفاك ما يعني ابدا اني اكره مشاهدة فيدرر ونادال وموراي وديل بوترو واساليبهم,neutral,2,0,0,متعصب في التنس حارم نفسه متتعه عظييمه انا من مشجعين نوفاك ما يعني ابدا اني اكره مشاهده فيدرر ونادال وموراي وديل بوترو واساليبهم
"المستقبل: الراعي يحذّر من تعثّر تشكيل #الحكومة ""لمدة غير معروفة"" جعجع في ""بيت الوسط""@DRSAMIRGEAGEAhttps://t.co/Dio2D8Y8cT",negative,1,4,0,المستقبل الراعي يحذر من تعثر تشكيل الحكومه لمده غير معروفه جعجع في بيت الوسط
مع جورج إسحق في وفد المجلس القومي لحقوق الانسان للمراقبة، نتحرك في شرق وشمال القاهرة، أدعو الجميع للمشاركة ومنع التجاوزات إن وجدت,negative,1,4,0,مع جورج اسحق في وفد المجلس القومي لحقوق الانسان للمراقبه، نتحرك في شرق وشمال القاهره، ادعو الجميع للمشاركه ومنع التجاوزات ان وجدت
يعنى مش عارف بياكلوا الظباط خرا عشان يجى لهم قلب يكهربوا طفل فى سنة سادسه ابتدائى ولا ايه #باسم,positive,0,0,0,يعنا مش عارف بياكلوا الظباط خرا عشان يجا لهم قلب يكهربوا طفل فا سنه سادسه ابتدائا ولا ايه باسم
2 فقط جلسة ودية، موقفي من رفض الحوار مع الرئيس وجماعته وحزبه كما هو وملتزم بموقف الشارع الرافض للحوار بدون ضمانات وهو موقف جبهة الإنقاذ,negative,1,0,0,فقط جلسه وديه، موقفي من رفض الحوار مع الرئيس وجماعته وحزبه كما هو وملتزم بموقف الشارع الرافض للحوار بدون ضمانات وهو موقف جبهه الانقاذ
#Google #Apple #Samsung “#غوغل” تتحدّى “#أبل” و “#سامسونغ” https://t.co/PXG2cLaJId,negative,1,4,0,غوغل تتحدا ابل و سامسونغ
سفر رئيس الجمهورية ورئيس الوزراء إلى الخارج في هذا التوقيت استهانة بالشعب المصري 25,positive,0,4,0,سفر رئيس الجمهوريه ورئيس الوزراء الا الخارج في هذا التوقيت استهانه بالشعب المصري
نجتهد في توفير الحجوزات #الخطوط_السعوديه https://t.co/gjmgrYJH4d mrd#ماذا_لو_المدارس_مختلطه,negative,1,4,0,نجتهد في توفير الحجوزات الخطوط السعوديه ماذا لو المدارس مختلطه
جاءت هذه الهزيمة للمعسكر الشعبوي بعد أن ازدادت قوته مع خروج بريطانيا من الاتحاد الأوروبي، وفوز دونالد ترامب في... https://t.co/MfoLqPbtHJ,negative,1,4,0,جاءت هذه الهزيمه للمعسكر الشعبوي بعد ان ازدادت قوته مع خروج بريطانيا من الاتحاد الاوروبي، وفوز دونالد ترامب في
#ماذا_لو_المدارس_مختلطهلكان العلمٌ مختلط,negative,1,4,0,ماذا لو المدارس مختلطهلكان العلم مختلط
تركيا تنفي عقد صفقة مع روسيا بشأن حلب https://t.co/XX4MMEgtW5,negative,1,4,0,تركيا تنفي عقد صفقه مع روسيا بشان حلب
د أبو الفتوح : مشروعي يتركز في أربعة محاور، أولها الاهتمام بالتعليم والبحث العلمي لان هذا هو الباب للتقدم ونقل,negative,1,4,0,د ابو الفتوح مشروعي يتركز في اربعه محاور، اولها الاهتمام بالتعليم والبحث العلمي لان هذا هو الباب للتقدم ونقل
ملخص مباراة روما واتلانتا 1-2 كامل (الدوري الايطالي 2016/2017) HD .e4i https://t.co/YvX6DJjbdf #MannequinChallenge,negative,1,4,0,ملخص مباراه روما واتلانتا كامل الدوري الايطالي
RT @Shopper_ar: تخفيض على ساعة ذكية من هواوي لاجهزة الايفون والاندرويد البائع امازون والشحن المباشر متاحالسعر بعد الخصم 208$https://t.co/…,negative,1,4,0,تخفيض علا ساعه ذكيه من هواوي لاجهزه الايفون والاندرويد البائع امازون والشحن المباشر متاحالسعر بعد الخصم
#كلمتين_وبس أحبك جدآ #الى_احدهم,neutral,2,0,0,كلمتين وبس احبك جدا الا احدهم
إستبشروا خير,neutral,2,4,0,استبشروا خير
2008 الشرطة التركية اليوم تفرق المظاهرات ضد اردوغان بالقوة بينما يندد هو بفض اعتصامات رابعة,positive,0,4,1,الشرطه التركيه اليوم تفرق المظاهرات ضد اردوغان بالقوه بينما يندد هو بفض اعتصامات رابعه
"*🌍 شٍبِګةّ أّخَبِأّر أّلَضّأّحٌيِّةّ "" D.N.N"" 🌍*#لافروف: #الولايات_المتحدة والناتو يؤججان حدة التوتر في العلاقات... https://t.co/KdqDcFtBqc",negative,1,4,0,شبګه اخبار الضاحيه لافروف الولايات المتحده والناتو يؤججان حده التوتر في العلاقات
الطريق إلى الديمقراطية يتآكل: محاكمات عسكرية، تقاعس عن حماية التظاهر السلمي، رفض الرقابة الدولية للانتخابات، عدم حسم حق المغتربين في التصويت,positive,0,0,0,الطريق الا الديمقراطيه يتاكل محاكمات عسكريه، تقاعس عن حمايه التظاهر السلمي، رفض الرقابه الدوليه للانتخابات، عدم حسم حق المغتربين في التصويت
مدفن القاهرة للعدالة ماذا يحدث الآن فى مطار القاهرة ، الشرطة تمنع أوائل الحقوق ! وترحب وتفسح للمتأخرين الفاشلين,positive,0,4,1,مدفن القاهره للعداله ماذا يحدث الان فا مطار القاهره ، الشرطه تمنع اوائل الحقوق وترحب وتفسح للمتاخرين الفاشلين
"#الرياضة الكشف عن هوية أفضل لاعب في مباراة السعودية والامارات: قالت صحيفة الرياضية السعودية ""اختبار الاتحاد ا... https://t.co/JejgRyk1Cl",negative,1,4,0,الرياضه الكشف عن هويه افضل لاعب في مباراه السعوديه والامارات قالت صحيفه الرياضيه السعوديه اختبار الاتحاد ا
أسرار نشأة السيسي داخل حارة اليهود بالقاهرة #الجمهور |#السيسي #انتخبوا_العرص #السيسي_يهودي #مصر #انقلا…,positive,0,0,1,اسرار نشاه السيسي داخل حاره اليهود بالقاهره الجمهور السيسي انتخبوا العرص السيسي يهودي مصر انقلا
RT @HenryKesnger: لماذا باع أردوغان..القضية السورية؟لا ألومه بصراحة!!استثمارات يسيل لها اللعاب!يستاهل الخليفة لعبها صح!!... https://…,positive,0,0,0,لماذا باع اردوغان القضيه السوريه؟لا الومه بصراحه استثمارات يسيل لها اللعاب يستاهل الخليفه لعبها صح
