dialect,sarcasm,sentiment,original_sentiment,tweet,source
2,0,0,2,@nsalmk ونيكي? يمه امزح  لاجد وربي بيونسيه هي الي وحيده تظبط هالشي,semeval
4,0,2,2,مقال رائع لخالد منتصر,astd
4,1,0,0,@MajdKanaann اللجان الثوريه هي عصابه تابعه لايران وامريكا وبريطانيا زي حقه حزب الله لبنان وعمهم الكبير نتن ياهو الكلب والله يسترع المسلمين,semeval
4,0,1,1,RT @kokokolove45: شــــــاهد الشووط 1 يوتيـــوب من مباراة #الارحنتين_باراجواي يوتيوبhttps://t.co/Gz8AYcscerجوالhttps://t.co/Gz8AYcscer…,semeval
4,0,2,2,"#غوتشي ""فلورا"" النسائيمع نغمات عطرية أكثر عمقاً وجاذبيةاحصلي عليه من #نقطة_الأناقة الآن في #أملج https://t.co/bM0GjfImCN",semeval
4,0,1,0,#اليمنية| 18 شهيدا و27 مصابا في #خروقات_الإنقلابيين بتعز خلال 24 ساعةhttps://t.co/DMa8xnikF3#التحالف_العربي_سند_اليمن,semeval
4,0,1,0,أعادت أمازون تهيئة كلمات المرور للعديد من مستخدميها بعد تسرب قائمة على الإنترنت تضم بريدا إلكترونيا وكلمات مرور، و https://t.co/rk9hhGU8mL,semeval
4,0,0,0,عشرات الجرحى في احتجاجات على مشروع لأنبوب نفط في الولايات المتحدة https://t.co/Um1sVbYzS1 #سبوتنيك #فلسطين #القدس,semeval
4,0,1,1,اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما لم يسمح بالتصويت لكل المقيمين بالخارج الا من قام بالتسجيل في الانتخابات,astd
0,0,1,1,@abo3maira @loaiomranمش عارفصورة وجدتها علي فيسبوك,semeval
4,0,1,1,#الجيش_السوري يسيطر على طرق امداد المسلحين القادمة من جهة حزرما باتجاه بلدة الميدعاني بالغوطة الشرقية في ريف #دمشق.,semeval
4,0,1,0,"""88%"" من قضايا الابتزاز في السعودية سببها مقاطع وصور البنات #الجوف #دومة #القريات #سكاكا #سكاكا_ال…",astd
4,1,2,0,تصور يا حفتر عملية مثل بنيان مرصوص أعتمادهم علي الله !!لا أبناء زايد و لا بوتن و لا فرنسا و لا داعش !!فهل يقوي أحد أن يغلب الله ☝,semeval
4,0,2,2,زينة الميلاد بجبيل الحلوة ❤️#jbeil #livelovelebanon #christmas #byblos #livelovebyblos #lebanon… https://t.co/eA9RnTcRBS,semeval
4,0,1,1,تعرف على تاريخ استخدام #روسيا و #الصين لحق نقض #الفيتوتقرير: زاهر علي#اتحاد_الشبكات_الاسلامية https://t.co/4PMGyuVMI8,semeval
0,0,0,0,كذبة حقيرة الاهرام العربي:مرسي طبع 65 مليار جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب,astd
0,1,0,1,RT @amer_alkubaisi: حيدر العبادي حذف منشور انتقاد أردوغان من الفيس بوك ، وربما بعد قليل يحذفه من تويتر، لنتابع اللعبة.,semeval
4,0,2,2,٢١ نوفمبر المجد التّليد لرقي فن فيروز ❤️🎼#فيروز https://t.co/v2JvjGAiNx,semeval
4,0,1,1,#مرسى_رئيسى #مرسي_رئيسي #انتخبوا_البرص #انتخبوا_العرص آمال,astd
4,0,1,1,RT @3FLnQe: #نتيجه_الاخضر_مع_الامارات آخر فوز للامارات على السعودية كان ميسي يملك 0 اهداف على ريال مدريدوالان الهداف التاريخي لليغا و ل…,semeval
4,0,0,0,@riyadhalasaad عندما نشاهد مايجري في سوريا من قتل للإطفال والنساء من قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب,semeval
4,0,1,2,Listen to أشتقتلك - رامى عياش #SoundCloudhttps://t.co/oqCGhGGQXS,semeval
3,0,2,2,ما تغيب كثير عنا ؛ غيبتك عم تقتلنا حبيب القلب توحشتك بزاف  #رامي_عياش  #أمير_الليل @RamyAyach,semeval
2,0,0,0,كل مرة جورج ياسمين بقدم الاخبار بحط ايدي ع قلبي ليقطع قطوع الرئيس ميشال .....عون 😟😳,semeval
0,0,0,0,عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم صفر #بالعربي,astd
4,0,2,2,من أعذب مفردات #الحياة وأجملها هو #اعطاء العذر لغياب البعض ! [[ لان سيد #البشر تحدث عن #التماس العذر ]] ، صلوات الله ع…,astd
1,0,0,0,@mohmad3033 والله مهو كلهم يبو سلطان..الاعلام الغربي يبي يصور لنا ان الشيعة خطر ويبي يصور للشيعة أنفسهم ان السنة خطر عليهم,semeval
4,0,1,1,RT @alhayat_syria: المعارضة تسترجع مواقع في حلب... وروسيا تُثبت «قاعدة عسكرية دائمة» في طرطوسhttps://t.co/R2LYVG5qyf https://t.co/7X5V6OVY…,semeval
4,0,1,1,#أردوغان:حان الوقت لفتح صفحةجديدةفي العلاقات بين #إسرائيل و #تركيا https://t.co/o3mPATmiGi #فلسطين #غزة #حماس #السعودية #مصر #العراق #لبنان,semeval
4,0,1,0,سبحان المعز المذل قصة علي العريض من السجن إلي وزير داخلية تونس,astd
4,0,1,1,أخبار رياضية : هذا ما قاله رونالدو عن مشاركة ريال مدريد في كأس العالم للأندية https://t.co/wFsQAJktAR,semeval
4,0,1,2,@Sllokei اسطورة التنس روجر فيدرر وصاحب 88 لقب منها 17 جراند سلام #اسطورة ❤️,semeval
4,0,1,1,ميزة في هاتف «جوجل» تكشف ابتزاز «أبل» https://t.co/ZtFyfDk79x https://t.co/6ygRaXjIvq,semeval
4,0,0,1,إلى حد البكاءِ على يديكِ، أحاول أن أغني، و أعرف أنني وطنٌ و منفى، و أني لست مني، و لكني، أحاولُ أن أغني، حين أبكي,astd
4,0,1,0,#مقتل سبعة أشخاص إثر #حريق غابات اندلع في منطقة جبلية سياحية جنوبي #الولايات_المتحدة #أ_ف_ب https://t.co/mMqXoe47Mn,semeval
4,0,1,2,اعرف بلادك - المغرب عين أسردون - توجد في بني ملال وهي مدينة مغربية تقع في الوسط الغربي للمملكة المغربية وسهل,astd
0,1,0,1,"تايملاين يليق بيه فيلم ""الأرهاب والكباب"" بدخلة يسرا المفاجأة 😌😃",semeval
4,0,0,1,مع كامل محبتي الشخصيّة للرؤساء عون وبريّ والحريري، لا تفهموني خطأ؟؟؟ عندما يقبل الرئيس ميشال عون بأن ينتخب من قبل... https://t.co/U0ffFBkR7u,semeval
1,0,1,2,ممتنة للثريد وكايسو انهم يفتحون نفسك 💛وايوه بوكيمون تمام، كيف حبيبة البوكيمون طيب؟ يومي مذهلرائع شكراً لك،  احصلي… https://t.co/ARa0PNnYJ6,semeval
0,0,0,0,في ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا في ليسيه الحرية مادخلتش اللجنة أصلا بس حركات مفضوحة,astd
4,0,1,2,RT @Elaph: طيران الإمارات وغوغل يطلقان مبادرة تثقيفية   #طيران_الإمارات #غوغل  https://t.co/zfBZqiEPkW https://t.co/dR1aX9RtI5,semeval
4,0,1,0,سبع دول من تدعم داعش امريكا بريطانيا فرنسا إسرائيل تركيا السعوديه قطر,semeval
2,1,0,1,#النّازحين_السّوريّين بيعتبرو اللي صار ب #حلب تحرير ومبسوطين وعم بِهللو#بس_هيك😊,semeval
4,0,1,1,تركيا تنفي عقد صفقة مع روسيا بشأن حلب https://t.co/XX4MMEgtW5,semeval
4,0,2,2,RT @aawsat_News: #نجاح_الحج1437ه | النجاحات #السعودية المتوالية في تنظيم #الحج تلجم أفواه المشككينhttps://t.co/Ovq7tMPWda https://t.co/dy…,semeval
4,0,0,0,RT @AbuAltahish6: @hrw_ar @aboaqil2010 امريكا هي راعية الارهاب .وتحالفها الدولي لضرب داعش انما هو لدعم داعش وكبيرتها السعودية العالم يعرف…,semeval
0,1,0,0,#يلا_نحفل_علي_احمد_ادم الرد هشتاج بردوا #باسم_طلع_حرامى,astd
1,0,1,1,@Ahmed_ALHasani ويندوز 10 ممتاز بس جلب مشاكل واجد في لاب توب منها الاضاة الي حلتها ومنها انه الجهاز يعلق على فترات اذا تركته من دون استخدام,semeval
4,0,0,0,@DimaSadek الفرق بين الصورتين هي صورة لاهالي الجنوب في حرب تموزوالصوره الثانية لنزوح أهالي حلب الفرق النازحين السور… https://t.co/NC2lPOKHke,semeval
0,0,0,1,وقالو سعيدة في حياتها 😣 #إليسا,semeval
4,0,2,1,"إذاغيب الموت ""نعناع الجناين""فإن حكاء مصرالأصيل سيظل حاضرافى الوجدان المصرى بأعماله التى جسدت أحلام المهمشين،رحم الله""صياد اللولى""خيرى شلبى",astd
4,0,1,1,#علوم_وتكنولوجياغوغل لا تعيّن أحدًا فوق الـ40 عامًا للعمل لديهاأقامت مجموعة من الباحثين عن عمل، وتفوق أعمارهم... https://t.co/jQoCRYsLaK,semeval
4,0,1,2,RT @mstr_federer: @fed89erer عالم الكرة الصفراء كان يتيماً حتى جاء فيدرر و اخرج جمال هذه الرياضة للعالم,semeval
0,1,0,0,ف #مصر #شخصية_مريبة متعرفش #بيشتغل لحساب مين بالظبط اسمو #نجيب_ساويرس بيعمل #قناة #لجاسوس اسمه #يسرى_فودة ليستضيف #عميل_برخصة اسمه #جمال_عيد,astd
4,0,0,0,#ميشيل_تويني: كيف تم إخفاء معالم من موقع التفجير عند إغتيال #جبران_تويني ومن المسؤول ولماذا لم يُحرّك الملف كل هذا الوقت؟@MichelleTueini,semeval
4,0,1,0,#لافروف: إلغاء اجتماع #جنيف حول #حلب بسبب عدم مشاركة #واشنطن https://t.co/ozXKurx5dr,semeval
1,1,0,0,@LaaHooB_Q8 @alhurranews خلاص طاح الحطبو بوكيمون يبدى قلقه,semeval
4,0,2,2,لمصر شعب يحميها رب أجعل هذا البلد آمنا مطمئنا,astd
2,0,0,0,"إثر هجومهما ""الهمجي"" على #حلب.. البيت الأبيض يحذر الأسد و #روسيا#سوريا #واشنطن #روسيا_تحرق_حلب #تدمير_المشافي",semeval
4,0,1,0,علي الأمين يكتب: موسكو أسقطت هدنة حلب: تريد سوريا كلها لا ‘المفيدة’ فقط https://t.co/mNFUsKJjVJ,semeval
4,0,0,0,#عرب48 | تطويق الأخبار الكاذبة على #فيسبوك: تهدد الديمقراطية https://t.co/jxeLkHwWy0,semeval
4,1,0,0,بعد الإنتخابات الأمريكية الأخيرة أثبت الإعلام الغربي أنه إعلام موجّه وغير صادق وأثبت الإعلام العربي أنه ببغائي بامت… https://t.co/jBCZQ61Dkx,semeval
4,0,0,0,فى مصر الانقلاب تعلو اصوات العهر والدعارة وتخفض اصوات الحق والعدل والشرفاء تحكمهم بيادة تلاحقهم رصاصة تأويهم سجون,astd
4,0,1,1,موقع كلمتي: دفاع شفيق : لم تعد هناك عقبات تمنعه من العودة لمصر #احمد_شفيق https://t.co/gfCaCi0RwW,semeval
4,0,1,1,#الجيش_السوري يدمر 3 جرافات ويقتل من فيها جنوب مقبرة حوش نصري في #الغوطة_الشرقية,semeval
2,0,0,0,النازحين السوريين منحاشين من قتل بشار وحزب الله وايران  لهمراحوا حق لبنان اللي تحكمها ايران وحزب اللهدخلك راح يعالجونهم بفلوس الكويت ؟!!,semeval
4,0,1,2,#فريق_الاصائل_التطوعي-ينظم حفل #المولد_النبوي_الشريف https://t.co/RgyigWzAHq,semeval
0,0,0,0,ياويلللي اعوذ بالله #ماذا_لو_المدارس_مختلطه,semeval
0,1,1,1,#مصر • كاريكاتير _ #انتخبوا_العرص,astd
4,0,0,0,بلغ التدني بالبعض حد وضع صورتي واسمي على حسابات تويتر مزيفة وإستخدامها للتطاول على حبيبتي وزوجتي وللخوض في عرضي، وتداولها عبر مواقع غير جادة,astd
0,0,2,2,#رمضان_الخير قرب,astd
4,0,1,2,كارلو أنشلوتي  قبل قليل : ريال مدريد هو نادي الكُرة الأرضية ! ...#تصريح_قوي 👌#حقيقة#Moh7,semeval
4,0,0,0,RT @alsrkhyalhasany: #الصرخي_يكشف_زيف_المدلسينانحرف السنة والشيعة بسبب داعش والسيستانيمقتبس من بحث (السيستاني ما قبل المهد الى ما بعد الل…,semeval
4,0,1,0,د عبد المنعم أبو الفتوح على قناة الحرة: أنا ضد مظاهرات ماسبيرو و ضد المظاهرات أمام الكنائس,astd
4,0,2,2,عامل كهربائي يستغل وقت فراغه في عشر ذي الحجة في قراءة القرآن كتب الله أجره وغفر ذنبه #عشر_ذي_الحجة,astd
4,0,1,1,دفاع #أحمد_شفيق: لا توجد عقبات أمام عودة المرشح الرئاسي الأسبق إلى #مصر https://t.co/DBucYMYr1q,semeval
0,1,0,0,#مركز_تدريب_قياده_للنساء_فقط هههههه دنتم مسخره ياراقل هونو على انفسكم يامجن فرنسا,semeval
4,0,2,2,عندما يرفع #راهب_مقدسي #الاذان من #كنيسة في #القدس، فهذا ما يفسر أحد أسرار شعب الجبارين في #فلسطين المحتلة.https://t.co/z45LAkRgIT,semeval
4,0,0,0,#الاعلام_رسالهكاذبه الكل ينشر فيها ما يريد و اذا كانت حجته ضعيفه اضاف كم صورة لمراة او لطفل اما جرحى او موتي لكي يكسب تعاطف المجتمع الدولي!,semeval
4,0,1,1,RT @DrOmaralmohamma: في معرض فرص العمل فن من فنون جذب العمالة .. كما لو كنت مع شركة غوغل في سابق عهدها #د_عمر_المحمد  #تدريب #استشارات #ت…,semeval
0,1,0,0,جوجل بلاي مقموص :3,semeval
0,0,0,0,@abo_raged حملت البرنامج وجربتو في اسطنبولبس موجود خيار واحد من والى المطار#اوبر موشغال هنا,semeval
4,0,1,1,@nawalatteya @Noor_al3omor من شخصيات بوكيمون زتّتْ (مو جو),semeval
4,0,2,2,"#فيدرر:"" حماسي وحبي للعبة يقوى أكثر وأكثر وأتطلع للمشاركة في بطولة استراليا المفتوحة"" https://t.co/bbjFC2aeQO",semeval
0,0,1,1,@_hiima انا عارف فولدمرت بتاع هاري بوتر بس مش فاهم والله :D,semeval
0,0,0,0,البلد اللي اليسار فيها ممكن يتحالف مع اليمين المتطرف عمرها ما تتقدم #فكره_لمصر_تتقدم_بيها,semeval
4,0,1,0,"#الآناضول عبر #محيط_اليمن | ""الحوثيون"" يكثفون هجماتهم الصاروخية صوب الجيش اليمني والحدود مع السعودية https://t.co/gEGNZFWgM8",semeval
4,0,1,2,https://t.co/C6ClP8eGPb #القدس  افتتاح مشروع اعادة تأهيل شبكة المياه في #العيزرية https://t.co/nxEOLxzYQ4,semeval
4,1,0,0,من المخجل ان يكون بوتن هو الذي ينذركم مما وعد الله ،، يا مسلمين !!https://t.co/lqPN3e1Xr1,semeval
4,0,0,1,#حلب : #الجيش_السوري يحكم سيطرته على كامل الأقسام الشرقية لـ #حي_كرم_القاطرجي ، و #حي_باب_النيرب و #حي_الحلوانية.,semeval
4,0,1,0,لأن مجلس الشعب منتخب على عوار وتشكيل التأسيسية أيضاً بسيطة وواضحة,astd
4,0,1,1,برشلونة مهتم بالتعاقد مع موهبة تشيلسي الدفاعية: لا مستقبل مضمون له في ستامفورد بريدج https://t.co/PvtXoMOuP8,semeval
1,0,2,1,تجنن ويد  https://t.co/ZQqei5eMdy,semeval
4,0,2,2,قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة,astd
0,1,0,0,RT @M__albugaily: قردوغان حليف اسرائيل يدعم تنظيم داعش في سوريا ومع ذلك لم يغضب عليه أحد ويهدده كما يفعل مع مصر التي تواجه الإرهاب بشكل عام…,semeval
0,0,0,0,@AbuAbufadel هيلاري كلنتون تصلي من اجل وسخ الدنيا والرئاسة الملعونه تنافق لليهود من اجل كرسي الرءاسه لان الصهيونيه العالميه تقرر من الرءيس,semeval
4,0,0,1,حمد لله تخرجت #ماذا_لو_المدارس_مختلطه,semeval
0,0,2,2,اللهم بلغنا رمضاااااااااان #نفسي يرجع بقا,astd
4,0,0,1,تشافي: أفتقد اللعب مع برشلونة.. وبيكيه مستاء ومحبط هذا المحتوى من : كتب: أيمن جيلبرتو https://t.co/oUnIxRfaod https://t.co/4fBThzQgxQ,semeval
4,0,1,1,الروايات متضاربة ومتناقضة حول احداث طريق النصر الحل تحقيق عادل مستقل شفاف لاستجلاء الحقيقة ولا يجب ان يفلت من أجرم من العقاب مهما كان موقعه,astd
0,0,0,0,هل هذه هي الديمقراطية؟ هل وزعت أيضا أموال على طلاب جامعة النيل والقيادات النقابية لزعزعة الاستقرار؟ هل بالأمن والقمع سنتعامل مع الاحتجاجات؟,astd
4,0,1,0,مش هيحصل .الطرف الفرنسي ينفي الرواية المصريةhttps://t.co/JviJOF1F5F https://t.co/crJmj3jigp,semeval
4,0,0,0,حق شهدائنا يضيع بشكل منظم نظامنا القضائي عاجز عن القصاص والجهات التشريعية والتنفيذية لم تدعمه، ومحاسبة كل من قصر في جمع الأدلة ضرورة,astd
4,0,1,2,كانت جامعة ليفربول تمسى بكلية #ليفربول الجامعية ١٨٨٢-١٨٨٤و بجامعة فيكتوريا في #ليفربول ١٨٨٤-١٩٠٣#جامعات_بريطانيا… https://t.co/dcx5gOrYtp,semeval
4,0,1,1,زعيم المعارضة الروسية يدعو لرحيل بوتن https://t.co/UR1m0fBUlB عبر @skynewsarabia,semeval
0,0,0,0,إنت فاكر إن متابعتك لأفلامي أهم من بلدي؟ في ستين ألف داهية وإوعى ترجع في كلامك قبل ما تعتذر على جهلك,astd
0,1,0,0,يعني ناس قعدت تنكر تعرية ست البنات وبعدين قعدت تبرره مستني منهم فجأة ينتفضوا لكرامة الإنسانللأسف كلنا هندفع تمن غياب العدل في هذا البلد,astd
4,0,0,0,روبرت دي نيرو مهاجما دونالد ترامب: كلب وخنزير وغبي https://t.co/JAicUONtyh,semeval
4,0,0,0,#خطر_في_القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا #القدس وآخرها صوت مآذنها الذي يقاوم #الاحتلال,semeval
4,0,1,0,#الاحتلال يستولي على معدات وبضائع فلسطينية قرب #بيت_لحمhttps://t.co/4Sxms1GC1U https://t.co/dBsHME7RE7,semeval
0,0,1,1,@ashraaf_alsaad من اول ما جه سلمان وهو مبقاش ماشي بيعتقد الاعتقاد دة ان السعودية بتدعم مصر في القضاء على الاٍرهاب,semeval
2,1,0,0,@RTarabic احلى مافي تركيا إنها استقبلت السوريين النازحين وأستقبلت الدواعش للتدريبهم ودخولهم للسوريا والعراق مأجور يا عمو رجب بن طيب,semeval
4,0,0,0,RT @14__moony: سـاعـة الإشتيـاق ليس لهـا عقـارب .. ومع ذلك تلدغـك في كـل ثانيـة تعيشهـا#قروب_خواطر_للدعم#قروب_فيدرر_للدعم,semeval
4,0,0,1,RT @dr_naseer: الطائفية هي أن تبكي على أطفال حلب في الصباح وتضحك على قتل أطفال صنعاء في المساء. الموضوعية هي أن تتبرأ من قتل الأبرياء في كل…,semeval
4,1,0,0,"البقرة ""د""  وأجندة اليمين الإلحادي المتصهين الإرهابي  اليمين المتطرف الإلحادي المتصهين ، هي حركة إرهابية ، في... https://t.co/ewgUztqRcJ",semeval
0,0,1,1,انا #الأسد انا شجرة كبير مادة جدورها فـ الأرض شايلة ناس كتير اوي ~ بس انا اللي هشيل نفسي، انا هوصل للي فـ دماغي,astd
1,0,0,0,صعود #اليمين_المتطرف: مخاطر هائلة على العالم https://t.co/gI6thAwMfG https://t.co/nAcDDGRWSN,semeval
4,0,0,0,حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية,astd
4,0,0,0,عمال مصر هم عماد الوطن، تكرار الإعتداء على العمال يؤكد ان دولة مبارك لم تسقط وان تغيرت الوجوه,astd
2,1,0,0,"لبنان جاب جورج كلوني ""صهر""، وسوريا عملت ريكي مارتن ""كنّة""... 😎 https://t.co/Xme6psdqbr",semeval
4,0,1,2,النبطية الفوقا احتفلت بذكرى المولد النبوي الشريف https://t.co/0LtJ1E6IfY https://t.co/mApFgNUrm5,semeval
4,0,1,1,أضفت فيديو إلى قائمة تشغيل @YouTube على https://t.co/MtfdW72fqR تحميل نسخة ويندوز 10,semeval
2,0,0,1,انتخابات الرئاسة في النمسا: هزيمة مرشح اليمين المتطرف نوربرت هوفر أمام فان دير بيلين https://t.co/fehz9Y3BHM,semeval
4,0,0,0,9سبتمبر عيد الفلاح الذى ظلمته السلطة واهملته المعارضة نحتاج لاصلاح زراعى جديد و نقابة مستقلة للفلاحين لا تغيير بدون الجماهير وفى قلبها الفلاحين,astd
4,0,1,0,ان  #الإخوان_المسلمين هم حزب الله العرب السني الموالي لولي الفقيه,semeval
2,0,1,0,@ar_stylish مقارنة بسعرها مافيها شيء مميز ابداً أو غريب غير كذا مو ستايل غوتشي أقرب لمارك جاكوب,semeval
0,1,0,0,اشرب ياقصير العمر منك له لها وياللي خربتوها ونهايتكم السجن او القتل لان اصلكم مجرمين واللي عملنكم بريطانيا من 85... https://t.co/8krvlB2TUj,semeval
4,0,2,2,RT @s_h_a_h_d: اللهم انصر الاسلام وأعز المسلميناللهم إنك أنت الجبار فاجبر كسرناوأنت المعز فأعزنا بعزكوأنت المنتقم فانتقم لنا ممن عادانا…,semeval
0,1,0,0,كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة,astd
4,0,1,1,كم متابع للاعظمية نيوز في #فلسطين الحبيبة تاك الصاحبك الي عايش ب فلسطين https://t.co/F1CacDidOp,semeval
4,0,2,2,RT @FAWZIALAJI: طفل أمريكي يكتب رسالة للرئيس #أوباما ليسمح للطفل السوري #عمران بدخول #أمريكا ليعيش مع أسرته ويتخذه أخاً!#سوريا https://t.…,semeval
4,0,2,2,جمعت القروش المميزة في ٣ عوالم.. متعة اللعبة تتلخص في تجميعها + طور الرالي اللي يوسع مملكتك وخياراتك 👍… https://t.co/sDp22n6bBm,semeval
4,0,1,0,#ديموقراطية بلا معارضة قوية مثل القاطرة بلا كوابح… #وعي #سياسة #نهضة,astd
0,0,1,1,@alqashi_amer @asdnofal1987 @Ahmad_Etan ماشي يا سيسي,semeval
4,0,1,2,RT @RTarabic: #أبل  تكسب معركة قضائية ضد #سامسونغ #اسأل_أكثرhttps://t.co/zM1QaK7pRk https://t.co/Fe8XpsOfk9,semeval
4,0,1,2,آردا توران: برشلونة رفض بيعي بمبلغ فلكي! - https://t.co/oxZ5sFY43D https://t.co/ydmBtB2anG #برشلونة,semeval
4,0,2,2,يقال أن إمبراطور #الصين كان يختبر موظفيه مرة واحدة كل ثلاث سنوات، لجس نبض مستواهم الفكري و النتيجة واحدة من اثنين إما الترقية أو الفصل !!!,semeval
4,0,1,1,Listen to سنتين وانا احايل فيك -نوال الزغبى  https://t.co/6yiCO7Y0QG,semeval
4,1,1,0,لما اشوف هيلاري كلنتون ودونالد ترمب يتهاوشون اتذكر فام the campaign,semeval
4,0,0,0,#اليمنية| #مليشيات_الحوثي_وصالح تستهدف منازل وقرى المواطنين بمحافظة البيضاءhttps://t.co/3VEeiPQGI3#التحالف_العربي_سند_اليمن,semeval
4,0,1,1,للـــــــــــــــــزواج أرمـــــــــــــــلة سورية مقيمة جميلة هادئة حنونة  https://t.co/jaCTRRBii0,semeval
